x	y	n	trajectory
39	163	1	12135,12343,
40	41	1	30212,30436,
40	84	1	8327,8541,
41	29	4	8542,8761,|12557,12764,|22865,23092,23315,|25749,25973,26195,26416,
41	234	1	44549,44770,44987,45210,45437,45665,45892,46119,46342,46566,46795,47024,47250,47474,47705,47936,48168,48400,48636,48858,
41	235	1	50915,51146,51374,
41	279	9	24859,25080,|29763,29989,30214,30438,30662,30878,31092,31307,31520,31735,31948,32160,32385,32605,32831,33049,33274,33504,33730,33965,34195,34429,34656,34882,35107,35333,35561,35789,36012,36237,36458,36679,36906,37133,37368,37592,37820,38050,38283,38509,38733,38958,39182,39405,39630,39853,40075,40297,40524,40740,40963,41188,41408,41627,41846,42065,42286,42521,42748,42973,43200,43425,43654,43877,|45438,45666,|46343,46567,|49318,49542,49764,49998,50223,50449,50686,50916,|52514,52743,52972,53206,53437,53664,53891,54125,54348,54581,54805,55035,55268,55497,55730,55961,56194,56429,56660,56895,|57586,57816,|59212,59445,59682,59919,|60389,60625,60853,61087,61318,61544,61767,61987,62216,62448,62672,62907,63136,63367,63602,63836,
41	280	1	58501,58740,
42	29	8	2623,2836,|5560,5772,|6209,6424,6639,|10223,10434,10647,10860,|14862,15070,|15695,15910,|19559,19775,|31949,32159,
42	45	3	12560,12765,12977,|18696,18917,|37134,37369,37593,37821,38051,38284,
42	46	6	19776,19993,20208,|26417,26638,26860,27082,27302,|27749,27974,|33051,33275,|35108,35334,35563,|36013,36238,36459,
42	51	1	58502,58741,
43	45	3	2017,2214,|17837,18059,18272,|30879,31093,
43	102	1	53665,53892,
43	125	1	836,1025,
43	130	1	8331,8545,
43	162	1	44101,44323,44550,44771,44989,45212,45439,45667,45893,46121,46344,46568,46796,47025,47251,47478,47708,47937,48169,48401,48637,48859,49090,49319,49543,49767,49999,50224,50451,50687,50917,51147,51375,51601,51825,52060,52285,52515,52744,52974,53207,53438,53666,53893,54127,54349,54583,54807,55036,55269,55498,55731,55962,56195,56431,56661,56896,57130,57357,57588,57818,58048,58276,58503,58742,58977,59213,59446,59683,59920,
43	241	11	3684, 3895, 4103, 4309, 4518, 4731, 4942, 5148, 5354, 5562, 5776, 5990, 6213, 6430, 6642, 6853, 7070, 7275, 7488, 7700, 7912, 8121, 8333, 8547, 8764, 8975, 9183, 9387, 9599, 9810,10016,10226,10436,10650,10862,11073,11291,11501,11720,11932,12140,12349,12562,12768,12979,13189,13398,13607,13820,14027,14239,14449,14655,14865,15072,15280,15488,15697,15913,16126,16338,|16766,16974,|17406,17623,17839,|19996,20210,20426,20653,20873,|21754,21979,22200,22423,22641,22868,23095,23318,23536,23759,23981,24204,24424,|24862,25082,25308,25528,25751,|26863,27084,27304,27529,27751,27976,28195,28418,28637,28862,29092,|29547,29766,29991,30217,30440,30664,30882,31096,31309,31523,31737,31952,32163,32388,32609,32833,33054,33277,33507,33733,33967,34198,34431,34658,34884,35110,35336,35565,35791,36015,|36461,36682,36908,37136,37371,|37823,38053,38287,38511,38735,38961,39184,39407,39632,39855,40077,40300,40526,40743,40966,41190,41410,41630,41848,42068,|42975,43202,43427,43656,43879,44103,44322,
43	291	3	48861,49092,|49545,49769,|50226,50453,
44	81	3	632, 838,1023,1216,1421,1620,1812,2019,2216,2419,|6428,6643,|7276,7489,7701,
44	83	1	2626,2839,3049,3263,3473,
44	102	4	8548, 8765, 8976, 9182, 9388, 9598, 9811,10017,10227,10437,10651,10863,11074,11292,11502,11721,11933,12141,12350,12563,12769,12980,13190,13399,13608,13821,14028,14240,14450,14654,14864,15073,15281,15489,15698,15914,16127,16339,16552,16767,16975,17194,17407,17624,17840,18061,18274,18487,18699,18919,19131,19349,19562,19778,19994,20211,20427,20654,20874,21094,21318,21534,21755,21980,22201,22424,22642,22869,23094,23317,23537,23760,23982,24202,24422,24642,24860,25083,25309,25529,25752,25974,26198,26419,26640,26861,27085,27305,27527,27752,27977,28196,28417,28635,28863,29093,29318,29548,29764,29992,30218,30441,30665,30881,31094,31310,31524,31738,31950,32162,32387,32607,32834,33053,33278,33505,33734,33968,34199,34432,34659,34885,|46570,46798,|47477,47706,|61769,61989,62218,62450,62674,62909,
44	103	1	56663,56898,
44	129	1	4730,4941,
44	275	1	58505,58744,
46	238	1	53441,53670,53897,54130,54353,54586,54810,
46	239	1	52517,52747,52977,
46	270	1	17408,17626,17841,18062,18275,18488,18700,18920,19132,19350,19563,19779,19997,20212,20428,20655,20875,21095,21319,21535,21756,21981,22202,22425,22643,22870,23096,23319,23538,23761,23983,24205,24425,24644,24863,25084,25310,25530,25753,25976,26199,26420,
46	271	4	26864,27086,27306,|27753,27978,|36683,36909,37137,|37595,37824,38054,38288,
47	54	1	58979,59217,59449,
47	238	4	6854,7072,7278,7492,7704,7915,8123,8334,8549,8767,8977,|12142,12351,12565,|31526,31740,|48863,49094,49322,49547,49771,50002,50228,50456,50690,50920,
47	239	14	9389,9600,|10018,10228,10438,10652,10864,11076,|12982,13191,13400,13609,|14241,14451,|15074,15282,15490,15699,15915,16128,16341,16553,16768,16977,17196,17409,17627,17842,18063,18277,18489,18702,18921,19133,19351,19564,19780,19998,20213,20430,20657,20877,21096,21321,21536,21758,|23098,23321,|23763,23984,24206,24426,24645,24864,25086,25312,25532,25755,25977,26201,26422,26641,26865,27087,27307,27530,27754,27979,|28420,28641,28864,|29767,29994,30221,|33736,33970,34201,34434,34661,34887,35112,35338,|35793,36017,36241,36463,|37139,37373,37597,|51378,51604,51827,|55735,55966,56199,
48	54	1	3687, 3898, 4106, 4310, 4521, 4733, 4944, 5150, 5357, 5566, 5777, 5993, 6215, 6431, 6645, 6855, 7073, 7279, 7491, 7705, 7914, 8124, 8335, 8550, 8768, 8978, 9184, 9390, 9601, 9812,10019,10229,10439,10653,10865,11077,11293,11503,11722,11934,12143,12352,12564,12770,12983,13192,13401,13610,13822,14029,14242,14452,14656,14866,15075,15283,15491,15700,15916,16129,16340,16554,16769,16976,17195,17410,17628,17843,18064,18276,18490,18701,18922,19134,19352,19565,19781,19999,20214,20429,20656,20876,21097,21320,21537,21757,21982,22203,22426,22644,22871,23097,23320,23539,23762,23985,24207,24427,24646,24865,25085,25311,25531,25754,25978,26200,26421,26642,26866,27088,27308,27531,27755,27980,28197,28419,28639,28865,29094,29320,29549,29768,29993,30219,30442,30666,30883,31097,31311,31525,31739,31953,32164,32389,32610,32835,33055,33279,33508,33735,33969,34200,34433,34660,34886,35111,35337,35567,35792,36016,36240,36462,36684,36910,37138,37372,37596,37825,38055,38289,38512,38737,38962,39185,39408,39633,39856,40078,40301,40527,40744,40967,41191,41411,41631,41849,42070,42288,42524,42750,42976,43203,43429,43657,43880,44104,44324,44552,44773,44991,45214,45441,45670,45895,46123,46346,46571,46799,47027,47253,47479,47709,47939,48171,48403,48639,48862,49093,49321,49546,49770,50001,50227,50455,50689,50919,51149,51377,51603,51828,52062,52287,52518,52746,52976,53210,53442,53669,53896,54129,54352,54585,54809,55039,55272,55501,55734,55965,56198,56433,
48	246	1	27309,27532,27756,
48	247	7	28198,28421,|33056,33281,|35339,35568,35794,36018,36242,36464,36685,36911,37140,37374,37598,|38057,38290,38513,38738,38963,39187,39409,39634,39857,40079,40302,|54131,54354,54587,54811,55040,|55502,55736,55967,56200,56434,56665,56902,|57360,57590,
49	151	1	2844,3053,
49	247	1	28866,29095,29321,29550,
50	155	3	23101,23323,23541,|24208,24428,|26202,26423,26643,26867,27089,
51	223	1	18925,19136,19356,
